,precision,recall,f1-score,support
\flat,0.875,0.5384615384615384,0.6666666666666666,13.0
\clubsuit,0.8709677419354839,0.9642857142857143,0.9152542372881356,28.0
\heartsuit,0.9456521739130435,0.9560439560439561,0.9508196721311475,91.0
\neg,0.9651162790697675,0.9764705882352941,0.9707602339181286,85.0
\triangle,0.0,0.0,0.0,32.0
\sqrt{},1.0,0.9081632653061225,0.9518716577540107,98.0
\sphericalangle,0.7692307692307693,0.9090909090909091,0.8333333333333334,11.0
\square,0.9758454106280193,0.926605504587156,0.9505882352941176,218.0
\triangledown,0.0,0.0,0.0,20.0
\blacksquare,0.8723404255319149,1.0,0.9318181818181818,41.0
\lozenge,0.5333333333333333,0.5,0.5161290322580645,16.0
\varnothing,0.25,0.02127659574468085,0.0392156862745098,47.0
\vartriangle,0.0,0.0,0.0,12.0
\iddots,0.9565217391304348,0.9166666666666666,0.9361702127659575,24.0
\mathcal{A},0.9333333333333333,0.3888888888888889,0.5490196078431373,36.0
\mathcal{B},0.55,0.6875,0.6111111111111112,16.0
\mathcal{C},0.7142857142857143,0.5263157894736842,0.6060606060606061,19.0
\mathcal{D},0.6666666666666666,0.38095238095238093,0.48484848484848486,21.0
\mathcal{E},0.3076923076923077,0.27586206896551724,0.2909090909090909,29.0
\mathcal{F},0.8292682926829268,0.85,0.8395061728395061,40.0
\mathcal{G},0.5294117647058824,0.75,0.6206896551724138,12.0
\mathcal{H},0.7096774193548387,0.88,0.7857142857142857,25.0
\mathcal{L},0.873015873015873,0.7333333333333333,0.7971014492753623,75.0
\mathcal{M},0.8260869565217391,0.8260869565217391,0.8260869565217391,23.0
\mathcal{N},0.8108108108108109,0.9090909090909091,0.8571428571428571,33.0
\mathcal{O},0.35185185185185186,0.8735632183908046,0.5016501650165016,87.0
\mathcal{P},0.7083333333333334,0.918918918918919,0.8,37.0
\mathcal{R},0.4666666666666667,0.4375,0.45161290322580644,16.0
\mathcal{S},0.4411764705882353,0.7894736842105263,0.5660377358490566,19.0
\mathcal{T},0.3684210526315789,0.7368421052631579,0.49122807017543857,19.0
\mathcal{U},0.43478260869565216,0.8333333333333334,0.5714285714285714,12.0
\mathcal{X},0.4,0.15384615384615385,0.2222222222222222,13.0
\mathcal{Z},0.55,0.6875,0.6111111111111112,16.0
\mathfrak{A},0.75,0.75,0.75,16.0
\mathfrak{M},0.6875,1.0,0.8148148148148148,11.0
\mathfrak{S},0.5454545454545454,0.782608695652174,0.6428571428571429,23.0
\mathfrak{X},0.7857142857142857,0.9166666666666666,0.8461538461538461,12.0
\mathbb{1},0.7117117117117117,0.8315789473684211,0.7669902912621359,95.0
\mathds{1},0.23076923076923078,0.09375,0.13333333333333333,32.0
\mathds{C},0.925,0.8809523809523809,0.9024390243902439,42.0
\mathds{E},0.7391304347826086,0.8095238095238095,0.7727272727272727,21.0
\mathds{N},0.8695652173913043,0.9803921568627451,0.9216589861751152,102.0
\mathds{P},0.75,0.9,0.8181818181818182,20.0
\mathds{Q},0.5641025641025641,0.9565217391304348,0.7096774193548387,23.0
\mathds{R},0.9235294117647059,0.6596638655462185,0.7696078431372549,238.0
\mathds{Z},0.8727272727272727,0.9504950495049505,0.909952606635071,101.0
\mathscr{A},0.5769230769230769,0.7894736842105263,0.6666666666666666,19.0
\mathscr{C},0.5,0.6818181818181818,0.5769230769230769,22.0
\mathscr{D},0.7368421052631579,1.0,0.8484848484848485,14.0
\mathscr{E},0.375,0.8181818181818182,0.5142857142857142,11.0
\mathscr{F},0.45454545454545453,0.35714285714285715,0.4,14.0
\mathscr{H},0.5666666666666667,0.8095238095238095,0.6666666666666666,21.0
\mathscr{L},0.7628865979381443,0.9135802469135802,0.8314606741573034,81.0
\mathscr{P},0.5,0.4166666666666667,0.45454545454545453,12.0
\mathscr{S},0.8235294117647058,0.7,0.7567567567567568,20.0
\celsius,0.8157894736842105,0.9393939393939394,0.8732394366197183,33.0
\degree,0.4444444444444444,0.11764705882352941,0.18604651162790697,68.0
\ohm,0.3157894736842105,0.18181818181818182,0.23076923076923078,33.0
\venus,0.45454545454545453,0.7692307692307693,0.5714285714285714,13.0
\mars,0.6818181818181818,0.6521739130434783,0.6666666666666666,23.0
\astrosun,0.3333333333333333,0.4666666666666667,0.3888888888888889,30.0
\fullmoon,0.0,0.0,0.0,15.0
\leftmoon,0.9,0.8181818181818182,0.8571428571428571,11.0
\female,0.4,0.1111111111111111,0.17391304347826086,18.0
\male,0.7419354838709677,0.6052631578947368,0.6666666666666666,38.0
\checked,0.0,0.0,0.0,28.0
\diameter,0.13675213675213677,0.8,0.23357664233576642,20.0
\sun,0.8947368421052632,1.0,0.9444444444444444,17.0
